       
          2006   2007   2008   2009   2010   2011   2012   2013   2014
  Crestwood                          0    64    73    78    64    66    76   103     7
  Crossgates                         0    98   182   249   260   184   143   212    48
  Crossroads                         0   174   256   255   291   310   270   303    83
  Crown Center                       0   127   175   135   170   218   189   200    53
  Cunningham Ridge                   0    45    96    74    69    58    77    49    15
  Davidson                           0   468  1002   950   743   627   520   612   221
  Dunbar                             0   135   215   179   193   252   194   164    56
  East Blue Valley                   0   482   784   640   778   765   670   594   133
  East Community Team North          0   850  1716  1335  1294  1167  1066  1056   228
  East Community Team South          0  1219  1828  1781  1571  1634  1699  1428   338
  East Meyer 6                       0   539   925   753   909   839   779   676   143
  East Meyer 7                       0   532   858   691   709   573   599   589   149
  East Swope Highlands               0   213   275   257   232   270   256   204    42
  Eastern 49-63                      0   874  1195  1037  1031  1006   961   853   189
  Eastwood Hills East                0   792  1111   983   887   889  1015   943   203
  Eastwood Hills West                0   256   311   297   271   263   280   310    85
  Fairlane                           0   719  1428  1403  1227   908   921   895   274
  Fairway Hills                      0   284   509   435   430   347   284   282    60
  Fairwood And Robandee              0   562   960   862   899   767   589   668   177
  Forgotten Homes                    0    51    77    56    65    56    91    62    10
  Foxcroft And Glen Arbor            0    65   137   166   201   136    95   146    45
  Foxtown East                       0   219   411   310   464   311   319   361    79
  Foxwoods-Carriage Hills            0   136   367   254   345   186   123   162    57
  Gashland                           0   460   874   744   614   517   390   505   177
  Glen Lake                          0    14    40    27    15    14    15    11     3
  Glenhaven                          0   147   252   264   343   198   155   168    64
  Gracemor-Randolph Corners          0   469  1027   699   617   452   549   516   141
  Greenway Fields                    0    94   186   180   186   160   129   181    34
  Hanover Place                      0   297   477   351   431   399   393   400   106
  Harlem                             0     9    13    11    23    15    25    35     4
  Hawthorne And Picture Hills        0   106   251   175   164    93    94   109    57
  Hickman Mills                      0   236   524   375   475   282   315   397   100
  Hickman Mills South                0   234   509   461   464   356   390   423   126
  Hidden Valley                      0   152   239   212   302   190   190   168    69
  Highview Estates                   0   276   414   346   389   355   262   308    92
  Hill Haven                         0    52    76    99    97    74    82   102    48
  Hillcrest                          0    80   174   152   149   116    60   102    23
  Holiday Hills                      0    81   172   129   145   129    73   103    27
  Holmes Park                        0   146   219   199   199   193   179   259    53
  Hospital Hill                      0   141   186   202   288   180   176   268    56
  Independence Plaza                 0   535   920   709   673   600   624   598   105
  Ingleside                          0   370   498   473   523   543   486   403   102
  Ivanhoe Northeast                  0   364   613   526   449   403   448   352    50
  Ivanhoe Southeast                  0   740  1001   856   890   780   778   669   117
  Ivanhoe Southwest                  0   553   735   673   649   502   473   567    98
  Jefferson Highlands                0   320   668   577   538   346   303   330   104
  KCI & 2nd Creek                    0   194   448   633   895   685   645   650   211
  Key Coalition                      0   657  1075   860   947   721   733   655   159
  Kirkside                           0   177   302   320   309   264   244   277    89
  Knoches Park                       0   571   740   706   736   729   621   630   163
  Lakeview Terrace                   0    92    95    68   129    82    47    62    22
  Lea Manor                          0   241   440   400   421   401   396   356   110
  Leeds                              0   182   240   165   225   259   237   199    53
  Legacy East                        0   164   342   293   328   272   241   177    59
  Lewis Heights                      0   111   153   180   179   154   169   166    27
  Linden Hills And Indian Height     0   214   483   432   467   400   333   385   142
  Linden Park                        0    77   143   119   100    84    77   121    40
  Line Creek And Northern Height     0   316   442   414   482   318   200   287   127
  Linwood Homeowners-Ivanhoe         0   495   715   649   617   459   483   364    90
  Little Blue                        0   481   718   758   818   673   685   711   159
  Loma Vista                         0   160   246   236   310   245   221   257    75
  Longfellow                         0   349   519   397   415   367   286   311    66
  Longview                           0   150   159   156   244   154   168   140    44
  Lykins                             0  1396  2126  1571  1292  1452  1524  1218   318
  Manheim Park                       0   496   716   685   758   735   820   700   148
  Maple Park                         0   203   456   409   495   357   206   235    87
  Maple Park West                    0   285   542   500   534   412   309   304   118
  Marlborough East                   0   289   415   427   466   322   285   302    80
  Marlborough Heights/Marlboroug     0   894  1768  1434  1485  1316  1083  1115   337
  Martin City                        0   205   286   289   337   233   269   282    85
  Meadowbrook Heights                0   362   643   575   444   313   318   361   129
  Minneville                         0    18    31    33    29    13    25    26     6
  Mission Lake                       0   328   622   608   533   450   427   390   147
  Morningside                        0   219   389   322   343   345   233   360    84
  Mount Cleveland                    0   121   112   127   106   109    79    93    32
  Mount Hope                         0   134   214   241   235   212   271   140    37
  Nashua                             0   405   957   764   558   442   373   530   181
  Neighbors United For Action        0   337   510   504   596   450   431   417   108
  New Mark                           0   352   712   691   460   468   296   352   123
  Noble And Gregory Ridge            0   566   970   849   842   646   696   699   161
  North Blue Ridge                   0   399   465   480   449   378   432   408    77
  North Hyde Park                    0   326   436   367   350   339   357   326    79
  North Indian Mound                 0   993  1446  1372  1354  1157  1362  1208   251
  North Town Fork Creek              0   835  1145  1215  1347  1253  1159  1072   260
  Northeast Industrial District      0   317   301   249   313   287   263   308    69
  Oak Meyer Gardens                  0   119   257   229   221   256   196   263    41
  Oak Park Northwest                 0   910  1681  1417  1358  1286  1173  1102   213
  Oak Park Southeast                 0   448   722   742   803   730   736   843   178
  Oak Park Southwest                 0   736   972   998  1180   900   983  1147   210
  Oakwood                            0   136   186   234   245   187   150   182    37
  Old Westport                       0   249   339   275   328   317   335   308   118
  Oldham Farms                       0   151   262   275   270   232   276   186    38
  Outer Gashland-Nashua              0   123   280   189   209   161   129   138    56
  Palestine East                     0   266   561   495   392   404   361   331   107
  Palestine West And Oak Park No     0   279   648   502   439   573   528   396   114
  Park Central-Research Park         0    71    60    63    77    85    87    88    35
  Park Farms                         0   449   741   827   851   549   571   635   169
  Park Forest                        0   321   743   574   394   345   291   332   146
  Park Plaza                         0   269   576   472   453   307   262   258    97
  Parkdale And Walden                0   338   638   721   549   451   364   429   159
  Parkview                           0    50    88    51    75    69    65    75    21
  Paseo West                         0   144   172   147   132   122   188   155    47
  Pendleton Heights                  0   506   736   500   523   499   500   459   145
  Platte Brook North                 0   147   443   313   237   212   150   214    68
  Platte Ridge                       0   238   516   356   288   276   215   216    72
  Plaza Westport                     0   166   226   192   194   194   191   162    76
  Prairie Point-Wildberry            0   132   264   271   226   197   138   194    55
  Quality Hill                       0   141   225   185   186   151   161   195    52
  Ravenwood-Somerset                 0   476   952   777   727   478   342   411   130
  Red Bridge North                   0   241   352   371   319   271   243   243    67
  Red Bridge South                   0   163   313   272   267   229   267   261    69
  Richards Gebaur                    0    71   121   129   138   119   104   100    19
  Ridgefield                         0   433   865   864   627   382   302   447   168
  Riss Lake                          0   235   365   339   299   237   280   237    60
  River Forest                       0   225   331   288   335   240   183   273    63
  River Market                       0   108   152   139   170   125   128   178    52
  River View                         0   195   310   349   265   232   196   292   121
  Roanoke                            0    87   124    71   108    80    96   124    50
  Robandee South                     0   239   373   403   370   351   361   362   102
  Rockhill                           0   106    97    81    98    88    90    83    22
  Rockhill Manor                     0   110   196   182   216   201   179   206    39
  Rolling Meadows                    0   109   203   203   192   161   118   180    49
  Romanelli West                     0   127   170   193   141   147   122   154    32
  Royal Oaks                         0   174   276   267   300   276   215   172    84
  Royal Oaks North                   0   150   308   284   211   179   124   120    58
  Ruskin Heights                     0   812  1537  1104  1132  1003  1170  1190   326
  Ruskin Hills                       0   456   851   584   633   496   584   634   162
  Santa Fe                           0   438   668   701   681   704   809   569   138
  Santa Fe Hills                     0   245   357   392   319   304   250   289    98
  Scarritt Point                     0  1423  1934  1741  1356  1497  1318  1282   315
  Sechrest                           0    19    10     2    20    21    22    20     5
  Self Help Neighborhood Council     0   470   867   668   830   630   603   617   154
  Sheffield                          0   734  1025  1092   849   779   799   748   181
  Sheraton Estates                   0    59   105    91    84    89    63    72    20
  Sherrydale                         0   169   305   207   197   174   170   199    54
  Sherwood Estates                   0   134   370   264   225   192   192   207    78
  Shoal Creek                        0  2498  4933  3622  3424  2425  1967  2670   923
  South Blue Valley                  0   658  1114   792   932   821   855   776   277
  South Hyde Park                    0   509   806   636   545   489   535   509   175
  South Indian Mound                 0  1383  2043  1522  1695  1365  1521  1462   309
  South Plaza                        0   221   256   216   197   259   217   258    63
  South Town Fork Creek              0   351   553   469   556   489   402   437    98
  Southmoreland                      0   254   486   382   471   426   471   572   139
  Squier Park                        0   161   200   158   182   218   258   184    40
  St                                 0   301   665   645   570   453   448   526   126
  St Catherines Gardens              0     0     0     0     0     0     0     1    32
  Stayton Meadows                    0   317   435   466   383   345   353   380   120
  Sterling Acres                     0   144   222   175   227   192   239   168    50
  Sterling Gardens                   0   161   216   213   152   127   195   122    34
  Stratford Estates                  0   382   667   753   691   524   427   518   133
  Stratford Gardens                  0    73   129   124    83    98    93   131     7
  Strupwood                          0    71    94    83    78    92    93    96    25
  Sunset Hill                        0   146   153   121   184   178   142   165    35
  Sunset Hill West                   0    96    98    94    46    60    67    82    16
  Swope Park Campus                  0   274   470   371   414   359   418   467    86
  Swope Park Ridge-Winchester        0    54    58    74    81    63    53    79    18
  Swope Parkway-Elmwood              0   947  1342  1069  1488  1482  1195  1462   351
  Tanglewood And Regency North       0   142   241   298   302   185   132   202    52
  Terrace Lake Gardens               0   231   374   363   403   296   201   217    72
  The Coves                          0   262   653   461   480   341   253   317   111
  Timber Valley                      0    59    64    80    78    84    81    72    10
  Tower Homes                        0   776  1423  1244  1318  1070  1043  1230   233
  Union Hill                         0   131   160   141   113   157   104   122    24
  Unity Ridge                        0    69   162   139   113    61    82   105    17
  Valentine                          0   241   325   232   236   230   216   242    63
  Verona Hills                       0   143   334   387   311   172   227   194    59
  Vineyard                           0   626   927   897   827   858   936   765   204
  Vineyard Estates                   0   101   124   170   133   114   115   106    23
  Vineyard Northwest                 0   363   518   462   513   590   421   491   113
  Volker                             0   773  1064   837   769   755   738   827   246
  Waldo Homes                        0   262   486   382   379   378   286   346    85
  Ward Estates                       0    37    53    50    37    53    46   102    18
  Ward Parkway                       0   582  1107   952   840   840   702   920   191
  Ward Parkway Plaza                 0    73    91    87   147   129    96   125    36
  Washington Wheatley                0  1147  1563  1493  1288  1356  1468   938   218
  Wendell Phillips                   0   742  1148   879  1135   826   784   747   139
  West Blue Valley                   0   475   552   658   789   693   606   509   139
  West Plaza                         0   541   813   712   656   685   624   616   198
  West Waldo                         0   205   416   344   342   346   256   303    65
  Western 49-63                      0   587   857   825   686   669   610   735   159
  Western Blue Township              0   356   512   436   446   442   349   353    91
  Western Hills                      0   327   605   613   546   605   416   455   106
  Westside North                     0   334   528   427   405   387   427   403   117
  Westside South                     0   373   523   501   544   487   545   608   182
  Westwood                           0   123   190   133   171   154   129   123    48
  White Oak                          0   338   546   529   548   451   377   440   172
  Willow Creek                       0   224   390   360   363   332   264   328   112
  Winnetonka                         0   119   274   240   170   169   119   183    67
  Winnwood                           0   320   723   504   630   464   403   445   144
  Winnwood Gardens                   0   156   283   270   224   171   138   195    65
  Woodbridge                         0   118   200   151   141   106    92    94    26
  Woodson Estates                    0    76   150   133   115   102    92    93    20
  Wornall Homestead                  0   150   233   178   155   203   153   204    19
       
         2006  2007  2008  2009  2010  2011  2012  2013  2014
            0     1    20    35   190   209   174   126    51
  6152      0     0     0     1     0     0     0     0     0
  63130     0     0     1     0     0     0     0     0     0
  64012     0     9    21     9     0     0     0     0     0
  64028     0     2    18     2     0     0     0     0     0
  64030     0     8    10     4     1     0     0     0     0
  64052     0    19    23     4     0     0     1     0     0
  64053     0    43    44    27     1     0     0     0     0
  64055     0    13    14     1     0     0     0     0     0
  64068     0    57   177    31    13     3     0     0     0
  64079     0     0     0     0     0     1     0     0     0
  64082     0     0     0     1     0     0     0     0     0
  64101     0    41   123    86    89    85   101   121    28
  64102     0    82   115   110   117    97   108   122    24
  64105     0   385   704   550   554   508   536   644   200
  64106     1  1379  2168  1977  2178  2173  2058  1934   446
  64108     0  1739  2474  2152  2380  2151  2109  2330   623
  64109     0  3012  4385  3758  3506  3027  3191  2639   607
  64110     0  4104  5826  5091  4724  4329  4343  4311  1000
  64111     0  2755  3950  2984  3155  2946  3025  3203   960
  64112     0  1171  1541  1331  1238  1288  1153  1266   348
  64113     0  1614  2734  2508  2212  2159  1822  2408   404
  64114     0  3442  6390  5744  5259  4853  4096  4646  1178
  64116     0  1416  2517  2384  2052  1703  1411  1723   617
  64117     0  1628  3092  2792  2590  2148  1754  2222   730
  64118     0  1947  3849  3536  2918  2043  1628  2051   648
  64119     0  2651  5652  4457  4275  3056  2477  2813   970
  64120     0   539   555   511   639   601   538   587   151
  64123     0  2797  3848  3276  3058  2619  2878  2640   585
  64124     0  2939  4531  3517  2955  2976  2987  2626   623
  64125     0   758   937   983   777   692   742   745   170
  64126     0  1331  2054  1902  1822  1667  1535  1349   316
  64127     0  5898  9242  7675  6859  6586  6731  5634  1285
  64128     0  4139  6885  5942  5321  5413  5081  4417  1144
  64129     0  2416  3284  2894  2591  2600  2605  2478   624
  64130     0  7710 11184 10877 10064  9507  9094  8911  1996
  64131     0  3394  6047  5263  5358  4756  4126  4382  1146
  64132     0  4095  7193  5889  5852  4600  4584  4671  1147
  64133     0  2611  4141  3790  3298  2824  3012  2679   665
  64134     0  3860  7366  6369  5664  4407  4622  4896  1349
  64136     0   282   367   374   394   369   318   299    63
  64137     0  1383  2476  2331  2225  1760  1558  1758   509
  64138     0  1965  3200  3093  3021  2401  2047  2166   657
  64139     0   209   347   310   284   163   237   329    60
  64145     0   733  1258  1136  1045   752   815   876   240
  64146     0   272   403   415   369   354   300   275    90
  64147     0    21    40    44    60    51    47    41    10
  64149     0   114   105   132   194   122   144    94    31
